"","X","Pollster","Dates","start_date","end_date","observations","sample_subpopulation","McCain","Obama2008","Barr","Nader","Other","Undecided","Margin","Year","State","EndDaysUntil","StartDaysUntil","MidDaysUntil","Dem2P","Rep2P","DemVote","RepVote","VoteErrorAbs","McKinney","NV","Refuse","Not.Voting","Paul","survey_house","ActualMargin","PollMargin","Romney","Obama2012","poll_slug","question_text","margin_of_error","mode","partisanship","partisan_affiliation","None","Refused","Trump","Clinton","Johnson","McMullin","MidDaysFactor","competitive","MarginError","MarginErrorAbs","VoteError","PVRepVote","PVDemVote","PVMargin"
"1",1,"YouGov/Polimetrix","10/18-11/1/08","10/18/2008","11/1/2008",452,"RV",57,39,"-","-","2","2","+18R",2008,"AL",3,17,10,0.406,0.594,0.391,0.609,1.5,NA,NA,NA,NA,NA,"YouGov/Polimetrix",-22,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",-4,4,-0.015,0.628977713522823,0.371022286477178,-0.256162874353236
"2",2,"SurveyUSA","10/27-28/08","10/27/2008","10/28/2008",650,"LV",61,36,"-","-","-","3","+25R",2008,"AL",7,8,7.5,0.371,0.629,0.391,0.609,2,NA,NA,NA,NA,NA,"SurveyUSA",-22,-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 Weeks to Go","noncompetitive",3,3,0.02,0.628977713522823,0.371022286477178,-0.256162874353236
"3",3,"Capital Survey Research Center","10/15-21/08","10/15/2008","10/21/2008",606,"LV",54,34,"-","-","-","-","+20R",2008,"AL",14,20,17,0.386,0.614,0.391,0.609,0.5,NA,NA,NA,NA,NA,"Capital Survey Research Center",-22,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 Weeks to Go","noncompetitive",-2,2,0.005,0.628977713522823,0.371022286477178,-0.256162874353236
"4",4,"SurveyUSA","10/8-9/08","10/8/2008","10/9/2008",697,"LV",62,35,"-","-","-","1","+27R",2008,"AL",26,27,26.5,0.361,0.639,0.391,0.609,3,NA,NA,NA,NA,NA,"SurveyUSA",-22,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 Weeks to Go","noncompetitive",5,5,0.03,0.628977713522823,0.371022286477178,-0.256162874353236
"5",5,"Capital Survey Research Center","10/2-7/08","10/2/2008","10/7/2008",554,"LV",55,35,"1","0","-","9","+20R",2008,"AL",28,33,30.5,0.389,0.611,0.391,0.609,0.2,NA,NA,NA,NA,NA,"Capital Survey Research Center",-22,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 Weeks to Go","noncompetitive",-2,2,0.002,0.628977713522823,0.371022286477178,-0.256162874353236
"6",6,"Rasmussen","9/22/2008","9/22/2008","9/22/2008",500,"LV",60,39,"-","-","0","2","+21R",2008,"AL",43,43,43,0.394,0.606,0.391,0.609,0.3,NA,NA,NA,NA,NA,"Rasmussen",-22,-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Weeks to Go","noncompetitive",-1,1,-0.003,0.628977713522823,0.371022286477178,-0.256162874353236
"7",7,"SurveyUSA","9/16-17/08","9/16/2008","9/17/2008",655,"A",64,34,"-","-","-","2","+30R",2008,"AL",48,49,48.5,0.347,0.653,0.391,0.609,4.4,NA,NA,NA,NA,NA,"SurveyUSA",-22,-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7 Weeks to Go","noncompetitive",8,8,0.044,0.628977713522823,0.371022286477178,-0.256162874353236
"8",8,"ARG","9/13-16/08","9/13/2008","9/16/2008",600,"LV",58,36,"-","-","1","5","+22R",2008,"AL",49,52,50.5,0.383,0.617,0.391,0.609,0.8,NA,NA,NA,NA,NA,"ARG",-22,-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 Weeks to Go","noncompetitive",0,0,0.008,0.628977713522823,0.371022286477178,-0.256162874353236
"9",9,"Press-Register/U S. Alabama","9/8-16/08","9/8/2008","9/16/2008",406,"LV",52,25,"-","-","-","23","+27R",2008,"AL",49,57,53,0.325,0.675,0.391,0.609,6.6,NA,NA,NA,NA,NA,"Press-Register/U S. Alabama",-22,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8 Weeks to Go","noncompetitive",5,5,0.066,0.628977713522823,0.371022286477178,-0.256162874353236
"10",10,"Capital Survey Research Center","9/3-9/08","9/3/2008","9/9/2008",606,"LV",55,35,"1","0","-","9","+20R",2008,"AL",56,62,59,0.389,0.611,0.391,0.609,0.2,NA,NA,NA,NA,NA,"Capital Survey Research Center",-22,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9 Weeks to Go","noncompetitive",-2,2,0.002,0.628977713522823,0.371022286477178,-0.256162874353236
